City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Brumadinho,21,BR,1650150688,80,-20.1433,-44.1997,62.67,5.06
Macomb,0,US,1650150689,34,40.4592,-90.6718,51.03,10.36
Wanaka,100,NZ,1650150687,68,-44.7,169.15,48.11,1.01
Chiredzi,100,ZW,1650150690,93,-21.05,31.6667,67.28,10.02
Zeya,20,RU,1650150690,50,53.75,127.2667,32.2,5.03
Novikovo,100,RU,1650150690,92,51.1537,37.8879,48.81,5.88
Lobito,100,AO,1650150690,87,-12.3481,13.5456,76.82,0.81
Iranshahr,99,IR,1650150690,21,27.2025,60.6848,81.5,4.05
Inhambane,96,MZ,1650150691,89,-23.865,35.3833,73.11,8.05
Vardø,100,NO,1650150691,83,70.3705,31.1107,38.86,28.27
Portland,75,US,1650150691,62,45.5234,-122.6762,55.53,8.99
Yashkul',100,RU,1650150691,48,46.1711,45.3435,59.41,7.16
Rostovka,100,RU,1650150692,68,55.3842,71.8891,44.33,7.99
Leningradskiy,64,RU,1650150692,90,69.3833,178.4167,10.35,8.95
Nsanje,13,MW,1650150692,98,-16.92,35.262,71.71,2.8
Huicungo,85,PE,1650150692,76,-7.2833,-76.8,78.75,0.72
Southbridge,100,US,1650150693,83,42.0751,-72.0334,60.93,3.0
Ulaangom,1,MN,1650150693,37,49.9811,92.0667,36.91,1.19
Hambantota,69,LK,1650150467,82,6.1241,81.1185,79.92,6.73
Katherine,78,AU,1650150693,73,-14.4667,132.2667,75.52,5.75
Tayu,80,ID,1650150693,89,-6.5397,111.0518,77.59,4.9
Berlevåg,100,NO,1650150694,89,70.8578,29.0864,37.2,33.08
Tangwani,70,PK,1650150694,8,28.2787,68.9972,87.13,8.1
Vilhena,20,BR,1650150694,93,-12.7406,-60.1458,69.96,3.04
Belaya Gora,93,RU,1650150695,92,68.5333,146.4167,11.53,3.38
Baykit,100,RU,1650150695,98,61.67,96.37,37.38,4.18
‘Āhuimanu,75,US,1650150695,79,21.4447,-157.8378,78.51,16.11
Formosa,0,AR,1650150695,68,-26.1775,-58.1781,67.98,0.0
Nhamundá,100,BR,1650150695,97,-2.1861,-56.7131,75.52,1.32
Mangai,99,CD,1650150696,90,-4.05,19.5333,72.25,1.28
Zhuhai,40,CN,1650150696,83,22.2769,113.5678,67.86,14.97
Brae,100,GB,1650150696,97,60.3964,-1.353,45.91,17.45
Padang,98,ID,1650150696,85,-0.9492,100.3543,77.05,4.0
Egvekinot,100,RU,1650150697,91,66.3167,-179.1667,20.12,9.89
Khanbari,1,NP,1650150697,31,27.3747,87.2039,66.49,4.81
Kenai,100,US,1650150697,58,60.5544,-151.2583,46.02,10.36
Asti,44,IT,1650150697,74,44.8979,8.2068,56.43,9.66
Cerinza,98,CO,1650150697,93,5.9557,-72.9478,55.2,1.41
Marovoay,0,MG,1650150698,72,-16.1,46.6333,75.99,5.79
Kongsberg,100,NO,1650150698,77,59.6652,9.6465,38.97,2.84
Ust'-Ishim,75,RU,1650150698,83,57.6935,71.1665,41.07,10.76
Altamira,83,BR,1650150699,96,-3.2033,-52.2064,74.44,2.01
Pandan,95,PH,1650150487,86,14.0453,124.1694,78.4,9.04
Sarkand,0,KZ,1650150699,22,45.41,79.9186,54.68,6.93
Goderich,59,CA,1650150700,69,43.7501,-81.7165,34.92,10.83
Kagadi,97,UG,1650150701,98,0.9606,30.7967,60.6,1.7
Odda,99,NO,1650150701,72,60.0691,6.5457,43.77,3.91
Trelew,0,AR,1650150701,64,-43.249,-65.3051,55.33,9.6
Panjāb,97,AF,1650150701,39,34.388,67.0233,50.97,3.29
Guararé,96,PA,1650150702,61,7.8167,-80.2833,81.19,10.74
Martapura,20,ID,1650150702,94,-3.4167,114.85,73.49,2.3
Pochutla,35,MX,1650150702,48,15.7432,-96.4661,89.82,9.64
Walvis Bay,1,NA,1650150702,74,-22.9575,14.5053,61.0,3.09
Waddān,17,LY,1650150703,56,29.1614,16.139,64.8,14.09
Punto Fijo,19,VE,1650150704,78,11.6956,-70.1996,79.3,32.7
Arica,0,CL,1650150704,72,-18.475,-70.3042,67.55,8.05
Plettenberg Bay,66,ZA,1650150705,79,-34.0527,23.3716,58.93,7.78
Palencia,1,ES,1650150705,74,42.4167,-4.5,53.1,7.09
Shangrao,100,CN,1650150705,87,28.4532,117.9686,50.83,2.62
Bowen,36,AU,1650150705,62,-20.0167,148.2333,76.77,12.84
Katangli,100,RU,1650150706,90,51.7102,143.2326,29.88,14.63
Sebina,100,BW,1650150706,96,-20.8667,27.25,61.93,12.86
Khojaly District,84,AZ,1650150706,68,39.913,46.7903,46.11,5.46
Filingué,90,NE,1650150706,33,14.3521,3.3168,87.17,14.25
Santa Rosa,96,PH,1650150616,73,14.3122,121.1114,82.38,8.79
Mufumbwe,100,ZM,1650150707,97,-13.6833,24.8,64.53,3.89
Acapulco de Juárez,0,MX,1650150707,61,16.8634,-99.8901,84.02,9.22
Shīeli,100,KZ,1650150707,56,44.1667,66.75,60.53,16.13
Byndoor,38,IN,1650150707,81,13.8667,74.6333,77.81,2.48
Bonthe,94,SL,1650150708,80,7.5264,-12.505,78.6,7.05
